,Year:year,CH4 (ppb),CO2 (ppm),N2O (ppb)
0,1750,719.01,278.0,270.0
1,1755,719.97,278.0,270.3
2,1760,720.93,278.0,270.6
3,1765,723.71,278.0,270.9
4,1770,726.5,278.6,271.2
5,1775,730.53,279.3,271.5
6,1780,734.57,280.1,271.8
7,1785,739.29,280.8,272.1
8,1790,744.01,281.6,272.4
9,1795,747.4,282.3,272.7
10,1800,750.8,282.9,273.0
11,1805,755.45,283.4,273.24
12,1810,760.11,283.8,273.48
13,1815,764.92,284.0,273.72
14,1820,769.73,284.2,273.96
15,1825,774.54,284.3,274.2
16,1830,779.35,284.4,274.44
17,1835,784.21,283.8,274.68
18,1840,789.06,283.4,274.92
19,1845,795.24,283.9,275.16
20,1850,801.42,284.7,275.4
21,1855,808.5,285.4,275.9
22,1860,815.59,286.2,276.4
23,1865,823.38,286.9,276.9
24,1870,831.18,287.5,277.4
25,1875,839.33,288.7,277.8
26,1880,847.48,290.7,278.2
27,1885,857.35,293.0,278.7
28,1890,867.22,294.2,279.1
29,1895,878.76,294.8,279.5
30,1900,890.3,295.8,279.8
31,1905,912.07,297.6,280.3
32,1910,935.46,299.7,281.0
33,1915,961.48,301.4,281.8
34,1920,990.23,303.0,282.9
35,1925,1020.2,305.0,284.0
36,1930,1049.05,307.2,285.0
37,1935,1076.54,309.4,285.9
38,1940,1102.4,310.4,286.7
39,1945,1128.83,310.1,287.8
40,1950,1161.73,310.7,289.0
41,1955,1207.03,313.0,290.1
42,1960,1262.97,316.9,291.4
43,1965,1328.47,320.0,292.9
44,1970,1403.19,325.0,294.9
45,1975,1483.57,331.3,297.4
46,1978,1532.77,334.6,298.82
47,1979,1549.53,336.74,300.04
48,1980,1566.28,338.7,300.65
49,1981,1583.48,339.74,301.23
50,1982,1600.69,340.92,303.56
51,1983,1617.89,342.47,303.78
52,1984,1635.09,344.13,304.02
53,1985,1652.29,345.47,304.54
54,1986,1669.49,346.89,305.37
55,1987,1680.66,348.46,305.55
56,1988,1698.83,350.93,306.49
57,1989,1710.52,352.57,307.48
58,1990,1709.33,353.72,308.78
59,1991,1729.07,355.15,309.57
60,1992,1731.05,355.9,310.0
61,1993,1735.65,356.63,310.25
62,1994,1741.66,358.2,310.98
63,1995,1747.1,360.23,311.78
64,1996,1749.86,362.01,312.81
65,1997,1753.94,363.17,313.53
66,1998,1762.43,365.69,314.2
67,1999,1772.33,367.81,315.15
68,2000,1774.07,368.92,316.14
69,2001,1772.95,370.38,316.89
70,2002,1773.14,372.49,317.47
71,2003,1777.41,375.08,318.21
72,2004,1775.44,376.61,318.93
73,2005,1774.55,378.97,319.6
74,2006,1776.4,381.17,320.37
75,2007,1781.75,382.89,321.14
76,2008,1789.94,384.98,322.11
77,2009,1793.63,386.42,322.88
78,2010,1796.84,388.71,323.7
79,2011,1803.42,390.57,324.61
80,2012,1810.33,392.64,325.58
81,2013,1815.44,395.49,326.53
82,2014,1824.4,397.45,327.61
83,2015,1834.63,399.58,328.51
84,2016,1842.4,402.87,329.33
85,2017,1849.95,405.19,330.31
86,2018,,407.58,
